# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	42107
#@/user_id	8d82608b-c9dc-447a-b88f-fa6f65555da6
a 	啊	c=198 d=1.50015 t=41900
shang pian 	上篇	c=1 d=1 t=27052
shang qian 	上千	c=1 d=1 t=40931
shang qian jia 	上千家	c=1 d=1 t=651
shang qu 	上去	c=15 d=1 t=34256
shang quan 	商圈	c=45 d=1 t=37163
shang quan guan li 	商圈管理	c=1 d=1 t=25831
shang se 	上色	c=1 d=1 t=36941
shang shi 	上市	c=2 d=1 t=30966
shang tai 	上台	c=1 d=1 t=3489
shang wang 	上网	c=5 d=1.22537 t=41204
shang wei 	上位	c=1 d=1 t=40854
shang wen 	上文	c=2 d=1 t=27032
shang wu 	上午	c=9 d=1 t=39407
shang xia chuang 	上下床	c=4 d=3.54453 t=29873
shang xia wen 	上下文	c=16 d=2.20218 t=27012
shang xia xian 	上下限	c=1 d=1 t=39669
shang xian 	上线	c=35 d=1.48339 t=39816
shang xian 	上限	c=1 d=1 t=33797
shang xian ba 	上线吧	c=1 d=1 t=31951
shang xian le 	上线了	c=1 d=1 t=7663
shang xian wan le 	上线完了	c=1 d=1 t=18463
shang xin a 	伤心啊	c=1 d=1 t=28856
shang xue 	上学	c=8 d=2.11575 t=41475
shang yi bu 	上一步	c=1 d=1 t=2948
shang yi ge 	上一个	c=1 d=1 t=4250
shang yong 	商用	c=1 d=1 t=12961
shang zhang 	上涨	c=1 d=1 t=16954
shang zhou 	上周	c=4 d=1.32628 t=20311
shang zhou liu 	上周六	c=2 d=1.21762 t=17326
shao 	少	c=8 d=1.05313 t=41324
shao chou yan 	少抽烟	c=1 d=1 t=26086
shao de 	烧的	c=1 d=1 t=36803
shao deng 	稍等	c=13 d=1 t=37645
shao hou 	稍候	c=4 d=1 t=41633
shao le 	少了	c=4 d=1 t=37546
shao le 	烧了	c=1 d=1 t=34927
shao liang 	少量	c=3 d=1 t=27245
shao shuo 	少说	c=3 d=1 t=9785
shao wei 	稍微	c=1 d=1 t=40753
she bei 	设备	c=21 d=3.68712 t=31801
she bei nei 	设备内	c=0 d=0.1 t=38496
she bei nei me 	设备内么	c=1 d=1 t=38497
she ding 	设定	c=1 d=1 t=25735
she hui ren wen 	社会人文	c=1 d=1 t=1988
she ji 	涉及	c=7 d=1.35891 t=35117
she ji 	设计	c=3 d=1 t=29935
she ji fei 	设计费	c=2 d=1.98511 t=21194
she ji shi 	设计师	c=1 d=1 t=21084
she me 	社么	c=3 d=1 t=35455
she qu 	社区	c=4 d=1.92312 t=36737
she xiang tou 	摄像头	c=2 d=1.0019 t=31740
she zhi 	设置	c=14 d=1.04856 t=38325
shei 	谁	c=22 d=1.00017 t=37776
shei ba 	谁把	c=1 d=1 t=28453
shei gen shei 	谁跟谁	c=2 d=1.9802 t=19733
shei shei shei 	谁谁谁	c=2 d=1.00045 t=13054
shei shi 	谁是	c=2 d=1 t=30809
shei yong hu 	谁用户	c=1 d=1 t=26316
shen 	神	c=2 d=1 t=42101
shen 	身	c=1 d=1 t=19353
shen ceng 	深层	c=1 d=1 t=20293
shen chuan 	身穿	c=1 d=1 t=10760
shen du 	深度	c=7 d=2.83713 t=18972
shen er mo 	深二模	c=4 d=1 t=42084
shen fen zheng 	身份证	c=2 d=1 t=38212
shen gong 	神功	c=1 d=1 t=40140
shen he 	审核	c=5 d=1 t=23124
shen ji 	审计	c=28 d=1 t=39807
shen jing 	神经	c=2 d=1.06891 t=19242
shen jing yuan 	神经元	c=1 d=1 t=18992
shen me 	什么	c=321 d=1.03923 t=42088
shen me de 	什么的	c=1 d=1 t=36507
shen me shen me 	什么什么	c=1 d=1 t=29468
shen me shi hou 	什么时候	c=1 d=1 t=36825
shen me ya 	什么呀	c=3 d=1 t=38933
shen me yang 	什么样	c=2 d=1 t=22886
shen me yi si 	什么意思	c=1 d=1 t=33118
shen ne 	神呢	c=2 d=1 t=21148
shen nong 	神农	c=0 d=0.1 t=3944
shen nong me 	神农么	c=4 d=1.00021 t=24792
shen pi 	审批	c=5 d=1 t=42053
shen qi 	神奇	c=3 d=1 t=34607
shen qin 	神亲	c=1 d=1 t=16496
shen qing 	申请	c=52 d=3.72524 t=41836
shen qing biao 	申请表	c=1 d=1 t=37677
shen shang 	身上	c=1 d=1 t=16225
shen suo 	伸缩	c=3 d=1.87038 t=13934
shen ti 	审题	c=2 d=1 t=17834
shen ti 	身体	c=3 d=1 t=41613
shen tou 	渗透	c=2 d=1.54607 t=30121
shen wei 	身为	c=1 d=1 t=592
shen yue 	审阅	c=32 d=11.2827 t=27213
shen zhen 	深圳	c=4 d=1.00163 t=37742
shen zhi 	甚至	c=7 d=1 t=36588
sheng 	生	c=6 d=1 t=34032
sheng 	省	c=2 d=1.99005 t=14073
sheng chan 	生产	c=1 d=1 t=33395
sheng cheng 	生成	c=28 d=4.3311 t=39990
sheng fu 	胜负	c=1 d=1 t=27505
sheng hai zi 	生孩子	c=1 d=1 t=14566
sheng huo 	生活	c=2 d=1.0002 t=29960
sheng ji 	升级	c=7 d=1.61878 t=36558
sheng le 	省了	c=1 d=1 t=2721
sheng ming 	生命	c=1 d=1 t=35633
sheng ni qi 	生你气	c=1 d=1 t=30313
sheng qi 	生气	c=1 d=1 t=19551
sheng qian 	省钱	c=1 d=1 t=6508
sheng ren 	胜任	c=1 d=1 t=26496
sheng shi 	省事	c=1 d=1 t=26648
sheng wu 	生物	c=3 d=1.09474 t=27152
sheng wu zhong 	生物钟	c=1 d=1 t=6908
sheng xiao 	生效	c=4 d=1 t=25821
sheng xin 	省心	c=1 d=1 t=13829
sheng xin zu 	省心租	c=1 d=1 t=10381
sheng yi 	生意	c=2 d=1 t=36953
sheng yin 	声音	c=1 d=1 t=15051
sheng yuan 	生源	c=1 d=1 t=3434
sheng zhi 	升职	c=1 d=1 t=15008
sheng zi 	绳子	c=1 d=1 t=6158
shi 	事	c=19 d=0.156417 t=42041
shi 	十	c=1 d=1 t=18783
shi 	士	c=2 d=1 t=37558
shi 	屎	c=2 d=1.9802 t=19362
shi 	式	c=1 d=1 t=18718
shi 	时	c=1 d=1 t=4169
shi 	是	c=723 d=2.215 t=42086
shi ba 	是吧	c=29 d=1.55503 t=41933
shi bai 	失败	c=12 d=3.49724 t=39761
shi bei 	是被	c=1 d=1 t=19831
shi bie 	识别	c=3 d=1 t=31214
shi bu cuo 	是不错	c=1 d=1 t=27984
shi bu shi 	是不是	c=73 d=1.02231 t=42069
shi bu shui 	是不水	c=1 d=1 t=41297
shi chang 	市场	c=10 d=1 t=34156
shi cheng shi 	十成十	c=1 d=1 t=17012
shi de 	似的	c=8 d=1 t=36516
shi de hua 	是的话	c=1 d=1 t=6784
shi duo 	是多	c=0 d=0.1 t=16357
shi duo ge 	十多个	c=2 d=1 t=9226
shi duo nian 	十多年	c=1 d=1 t=1564
shi duo sha 	是多啥	c=1 d=1 t=16358
shi fou 	是否	c=12 d=1 t=39960
shi fu 	师傅	c=3 d=1 t=31088
shi ge 	十个	c=1 d=1 t=34431
shi ge 	是个	c=11 d=1.00035 t=37184
shi gu 	事故	c=1 d=1 t=28185
shi guan 	使馆	c=1 d=1 t=41975
shi he 	适合	c=4 d=1 t=39200
shi hou 	时候	c=55 d=1.01985 t=41709
shi ji 	实际	c=2 d=1 t=32326
shi ji er shi 	十几二十	c=0 d=0.1 t=3294
shi ji er shi ge 	十几二十个	c=1 d=1 t=3295
shi ji ge 	十几个	c=1 d=1 t=36620
shi ji zhang 	十几张	c=1 d=1 t=9701
shi jian 	时间	c=56 d=1.14801 t=40458
shi jian dian 	时间点	c=1 d=1 t=7750
shi jie 	世界	c=5 d=1 t=41272
shi jing 	诗经	c=3 d=1.98666 t=34608
shi ju 	诗句	c=1 d=1 t=34547
shi juan 	试卷	c=3 d=2.80067 t=4266
shi jue 	视觉	c=1 d=1 t=12802
shi ke 	时刻	c=1 d=1 t=22514
shi le shi 	试了试	c=2 d=1 t=12440
shi li 	实力	c=2 d=1.41478 t=27319
shi ma 	是吗	c=10 d=1.94658 t=30753
shi me 	是么	c=10 d=1.00667 t=38113
shi mian 	失眠	c=1 d=1 t=12658
shi mian 	市面	c=1 d=1 t=12659
shi nai de 	施耐德	c=3 d=2.41334 t=21958
shi ni ma 	是你吗	c=1 d=1 t=9802
shi nian qian 	十年前	c=1 d=1 t=17998
shi pin 	视频	c=15 d=1.00001 t=39027
shi pin li 	视频里	c=1 d=1 t=2090
shi qing 	事情	c=2 d=1.97531 t=3116
shi qu 	时区	c=2 d=1.96561 t=28407
shi shang 	时尚	c=24 d=3.7826 t=41903
shi shang ren jia 	时尚人家	c=1 d=1 t=41869
shi shei 	是谁	c=3 d=1 t=38095
shi shen me 	是什么	c=1 d=1 t=26580
shi shi 	事实	c=2 d=1 t=25464
shi shi 	实时	c=2 d=1 t=39689
shi shi 	试试	c=46 d=1.05202 t=40243
shi shui 	嗜睡	c=1 d=1 t=35360
shi sui 	十岁	c=1 d=1 t=607
shi ti 	试题	c=5 d=4.45677 t=4069
shi ti shu 	实体书	c=1 d=1 t=9850
shi ti zhang 	实体章	c=1 d=1 t=42045
shi wo 	是我	c=1 d=1 t=35712
shi wu 	事务	c=3 d=2.58939 t=39948
shi xian 	实现	c=3 d=1 t=25774
shi xiao xing 	时效性	c=1 d=1 t=2971
shi xing 	试行	c=1 d=1 t=41425
shi ye 	事业	c=2 d=1.9802 t=14721
shi ye 	失业	c=3 d=1 t=26047
shi yi 	事宜	c=1 d=1 t=3107
shi yi xia 	试一下	c=1 d=1 t=7255
shi yin wei 	是因为	c=1 d=1 t=12100
shi yong 	使用	c=59 d=1.00053 t=39369
shi yong 	试用	c=1 d=1 t=29276
shi yong ren 	使用人	c=1 d=1 t=19955
shi yong tong gong 	使用童工	c=1 d=1 t=34650
shi yong zhe 	使用者	c=1 d=1 t=7179
shi you 	是由	c=1 d=1 t=24601
shi yu zhu 	史玉柱	c=1 d=1 t=1930
shi zai 	实在	c=2 d=1.00002 t=35765
shi zai 	是在	c=1 d=1 t=4561
shi zhi 	市值	c=1 d=1 t=2163
shou 	手	c=9 d=1.00009 t=35835
shou 	收	c=12 d=1.00001 t=38922
shou ba shou jiao 	手把手教	c=1 d=1 t=579
shou bing 	手柄	c=1 d=1 t=40502
shou bu 	手部	c=1 d=1 t=27950
shou bu shou 	收不收	c=1 d=1 t=27653
shou cang 	收藏	c=3 d=1.956 t=41267
shou cuo 	手搓	c=2 d=1 t=32631
shou dao 	受到	c=2 d=1 t=10960
shou dao 	收到	c=10 d=1.01624 t=34057
shou dao le 	受到了	c=1 d=1 t=16671
shou de 	收的	c=1 d=1 t=27678
shou dian 	收点	c=1 d=1 t=17859
shou dong 	手动	c=13 d=1.58567 t=40169
shou duan 	手段	c=1 d=1 t=30049
shou fei 	收费	c=6 d=1 t=35543
shou gai 	手改	c=1 d=1 t=491
shou ge 	收个	c=1 d=1 t=17851
shou ge 	收割	c=1 d=1 t=15005
shou gong 	手工	c=2 d=1 t=9254
shou hu 	守护	c=1 d=1 t=6924
shou ji 	手机	c=35 d=1 t=39750
shou ji 	收集	c=1 d=1 t=6594
shou ji hao 	手机号	c=9 d=1 t=40874
shou ji ka 	手机卡	c=1 d=1 t=37638
shou le 	收了	c=2 d=1 t=11284
shou li 	手里	c=6 d=1.95123 t=42020
shou mei shou dao 	收没收到	c=1 d=1 t=17618
shou ming 	寿命	c=2 d=1.98511 t=33638
shou pa 	手帕	c=0 d=0.1 t=25501
shou pa kou 	手帕口	c=1 d=1 t=25502
shou qi lai 	收起来	c=1 d=1 t=1828
shou qian 	收钱	c=1 d=1 t=12888
shou quan 	授权	c=2 d=1 t=35948
shou ru 	收入	c=2 d=2.01976 t=41833
shou shang 	受伤	c=1 d=1 t=27951
shou shi 	收拾	c=5 d=1.99501 t=36842
shou shi shou shi 	收拾收拾	c=1 d=1 t=30270
shou shou 	收手	c=1 d=1 t=4869
shou shu 	手术	c=4 d=1 t=25068
shou si 	手撕	c=1 d=1 t=21738
shou yi 	收益	c=1 d=1 t=2463
shou yi xia 	收一下	c=4 d=1.82667 t=18146
shou yin 	手印	c=1 d=1 t=36520
shou zhe 	守着	c=1 d=1 t=8082
shu 	书	c=6 d=4.01908 t=27749
shu 	墅	c=1 d=1 t=18914
shu 	数	c=10 d=1.21302 t=40655
shu 	术	c=1 d=1 t=22909
shu biao 	鼠标	c=2 d=1.96561 t=40518
shu chu 	输出	c=12 d=1.09863 t=35601
shu fu 	舒服	c=2 d=1 t=21822
shu ji 	书记	c=5 d=4.37666 t=40800
shu ju 	数据	c=117 d=2.52166 t=40547
shu ju da 	数据大	c=1 d=1 t=26476
shu ju fen xi 	数据分析	c=1 d=1 t=26055
shu ju ku 	数据库	c=34 d=2.64973 t=39976
shu ju li 	数据里	c=2 d=1.73345 t=26577
shu ju liang 	数据量	c=1 d=1 t=9365
shu ju liu 	数据流	c=1 d=1 t=9322
shu le 	输了	c=3 d=1 t=26917
shu li 	梳理	c=1 d=1 t=889
shu liang 	数量	c=3 d=1 t=34922
shu lou 	疏漏	c=1 d=1 t=30064
shu mei pai 	树莓派	c=13 d=8.23819 t=31862
shu ming 	书名	c=0 d=0.1 t=14094
shu ming shu 	书名书	c=1 d=1 t=14095
shu qian 	书签	c=2 d=1 t=18077
shu ru 	输入	c=4 d=1 t=38955
shu ru fa 	输入法	c=1 d=1 t=25731
shu shang 	树上	c=2 d=1.98511 t=9108
shu shi 	数十	c=1 d=1 t=23161
shu shu 	叔叔	c=1 d=1 t=30811
shu wan 	输完	c=0 d=0.1 t=38514
shu wan le 	输完了	c=1 d=1 t=38515
shu xi 	熟悉	c=1 d=1 t=15877
shu xing 	属性	c=1 d=1 t=33081
shu xue 	数学	c=2 d=2.08709 t=10883
shu xue zhi nan 	数学指南	c=1 d=1 t=10878
shu yu 	属于	c=3 d=1 t=31182
shu zhe 	竖着	c=1 d=1 t=21527
shu zhi 	数值	c=1 d=1 t=24415
shu zi 	数字	c=1 d=1 t=40218
shu zi ban 	数字版	c=1 d=1 t=19366
shua 	刷	c=4 d=1 t=39036
shua ji 	刷机	c=1 d=1 t=22499
shua le 	刷了	c=1 d=1 t=31099
shua li wu 	刷礼物	c=1 d=1 t=31071
shua xin 	刷新	c=1 d=1 t=9401
shua yi xia 	刷一下	c=1 d=1 t=9483
shuai 	帅	c=2 d=1 t=6606
shuai huai le 	摔坏了	c=1 d=1 t=14254
shuang 	双	c=1 d=1 t=24954
shuang 	爽	c=2 d=1.00399 t=30215
shuang ceng 	双层	c=1 d=1 t=36790
shuang ren cheng xing 	双人成行	c=1 d=1 t=25655
shuang ren chuang 	双人床	c=3 d=2.07899 t=10367
shuang xiao 	双效	c=1 d=1 t=9667
shuang zi zuo 	双子座	c=1 d=1 t=34414
shui 	水	c=3 d=1 t=6812
shui 	睡	c=1 d=1 t=29886
shui 	税	c=2 d=1 t=19160
shui jiao 	睡觉	c=5 d=1 t=36963
shui jing tou 	水晶头	c=1 d=1 t=33593
shui le 	睡了	c=1 d=1 t=41498
shui li 	水利	c=1 d=1 t=41086
shui mian 	睡眠	c=2 d=1.98511 t=41522
shui o 	谁哦	c=1 d=1 t=3695
shui ping 	水平	c=1 d=1 t=40990
shui tu bu fu 	水土不服	c=1 d=1 t=13161
shui wu 	税务	c=1 d=1 t=41088
shui yin 	水印	c=4 d=1 t=37830
shui you 	水友	c=1 d=1 t=2239
shui zhao 	睡着	c=0 d=0.1 t=41495
shui zhao le 	睡着了	c=1 d=1 t=6911
shun bian 	顺便	c=1 d=1 t=16354
shun feng 	顺丰	c=8 d=1 t=27688
shun hua 	顺滑	c=2 d=1 t=28043
shun jian 	瞬间	c=1 d=1 t=11328
shun xu 	顺序	c=3 d=1.97531 t=29214
shuo 	说	c=121 d=1.51029 t=42079
shuo ba 	说吧	c=0 d=0.1 t=31878
shuo bai le 	说白了	c=2 d=1 t=13458
shuo bu 	说不	c=0 d=0.1 t=23908
shuo bu xing 	说不行	c=1 d=1 t=23909
shuo cheng 	说成	c=0 d=0.1 t=28108
shuo cheng le 	说成了	c=1 d=1 t=28109
shuo de 	说的	c=10 d=1.37344 t=39477
shuo fa 	说法	c=3 d=1 t=22064
shuo fei hua 	说废话	c=1 d=1 t=23526
shuo guo 	说过	c=3 d=1.00029 t=29233
shuo hua 	说话	c=2 d=1.06111 t=28188
shuo hua you 	说话又	c=1 d=1 t=2200
shuo le 	说了	c=4 d=1 t=29477
shuo ming 	说明	c=2 d=1 t=26176
shuo ming shu 	说明书	c=4 d=2.14625 t=14096
shuo ming shuo 	说明说	c=1 d=1 t=13945
shuo ni 	说你	c=2 d=1 t=40828
shuo shi 	硕士	c=2 d=1 t=13515
shuo shi hua 	说实话	c=1 d=1 t=24079
shuo xing 	说行	c=1 d=1 t=23907
shuo yi ju 	说一句	c=1 d=1 t=14872
shuo yi xia 	说一下	c=2 d=1 t=38200
si 	四	c=2 d=1 t=10518
si 	撕	c=1 d=1 t=21736
si 	死	c=3 d=1.1653 t=5401
si ban 	死板	c=1 d=1 t=18930
si chuan 	四川	c=1 d=1 t=35189
si ge wei du 	四个维度	c=2 d=1.9802 t=31941
si huan 	四环	c=1 d=1 t=13231
si huan wai 	四环外	c=1 d=1 t=13222
si ji 	司机	c=1 d=1 t=1667
si kao 	思考	c=2 d=1.94176 t=9133
si le 	死了	c=2 d=1 t=34883
si li 	私利	c=1 d=1 t=36129
si li 	私立	c=3 d=2.75343 t=36184
si liao 	私聊	c=1 d=1 t=20241
si lu 	思路	c=1 d=1 t=18628
si mi 	私密	c=0 d=0.1 t=41583
si mi ma sai 	私密马赛	c=1 d=1 t=41584
si ming ling 	死命令	c=1 d=1 t=11852
si sui 	四岁	c=1 d=1 t=14818
si wei 	思维	c=1 d=1 t=8068
si yao 	私钥	c=5 d=3.3968 t=30135
song 	送	c=15 d=1 t=37172
song dong xi 	送东西	c=1 d=1 t=17025
song fan 	送饭	c=1 d=1 t=13884
song guo qu 	送过去	c=2 d=1 t=22518
song le 	送了	c=1 d=1 t=37434
song wai mai 	送外卖	c=1 d=1 t=9952
song wo 	送我	c=1 d=1 t=25609
song yang 	宋洋	c=1 d=1 t=19129
sou 	搜	c=14 d=1.96079 t=39610
sou bu chu lai 	搜不出来	c=1 d=1 t=20710
sou dao 	搜到	c=1 d=1 t=14119
sou le 	搜了	c=3 d=1 t=17538
sou sou 	搜搜	c=1 d=1 t=31749
sou suo 	搜索	c=12 d=2.86223 t=39351
sou suo ye 	搜索页	c=5 d=4.44849 t=5280
sou suo yin qing 	搜索引擎	c=2 d=1.47951 t=39322
su cai 	素材	c=4 d=1 t=40115
su cai zhan 	素材站	c=1 d=1 t=37817
su du 	速度	c=9 d=1 t=40560
su ran 	肃然	c=2 d=1.99501 t=30306
su zong 	苏总	c=2 d=1.79852 t=11893
suan 	算	c=14 d=1.23489 t=37584
suan 	酸	c=1 d=1 t=6754
suan fa 	算法	c=9 d=4.05401 t=39572
suan le 	算了	c=4 d=1 t=29815
suan ming 	算命	c=2 d=1.97531 t=7994
suan shang 	算上	c=1 d=1 t=945
suan shi 	算是	c=2 d=1 t=11453
suan suan 	算算	c=3 d=1.87372 t=23678
suan xia lai 	算下来	c=1 d=1 t=10316
sui 	岁	c=7 d=1 t=33930
sui 	碎	c=2 d=1.92312 t=14379
sui bian 	随便	c=9 d=1.00568 t=41998
sui ji 	随机	c=7 d=4.26531 t=40308
sui ji shu 	随机数	c=2 d=1.64082 t=40324
sui le 	碎了	c=1 d=1 t=14340
sui ran 	虽然	c=2 d=1 t=16212
sui shi 	随时	c=4 d=1.00005 t=36764
sui shu 	岁数	c=2 d=1 t=11443
sui zhe 	碎着	c=1 d=1 t=14330
sun 	孙	c=1 d=1 t=22908
sun shi 	损失	c=1 d=1 t=40690
sun yan zi 	孙燕姿	c=8 d=1.41478 t=27035
sun zi 	孙子	c=1 d=1 t=30604
suo 	所	c=1 d=1 t=32985
suo ai 	索爱	c=1 d=1 t=29494
suo ding 	锁定	c=1 d=1 t=19832
suo le 	锁了	c=1 d=1 t=28452
suo ti 	锁体	c=7 d=6.07895 t=31001
suo wei 	所谓	c=7 d=1 t=40270
suo xie 	缩写	c=2 d=1.96079 t=30449
suo xing 	索性	c=1 d=1 t=4273
suo yi 	所以	c=49 d=2.09585 t=40492
suo you 	所有	c=28 d=3.01017 t=37148
suo you shu ju ku 	所有数据库	c=1 d=1 t=29204
ta 	他	c=193 d=1.98751 t=41147
ta 	她	c=25 d=1.00345 t=42046
ta 	它	c=15 d=3.90684 t=39337
ta ba 	她爸	c=2 d=1.48919 t=14062
ta ban 	踏板	c=1 d=1 t=9977
ta de 	他的	c=3 d=1 t=36604
ta dou 	他都	c=1 d=1 t=19110
ta dui 	她对	c=1 d=1 t=27042
ta er zi 	他儿子	c=3 d=1 t=22729
ta fan lai 	他翻来	c=1 d=1 t=29892
ta hai 	他还	c=1 d=1 t=5179
ta jia 	他家	c=3 d=1.00123 t=24071
ta jiu 	他就	c=3 d=1.00289 t=27786
ta ma 	他妈	c=5 d=1.67032 t=40801
ta mai le 	他买了	c=1 d=1 t=2033
ta men 	他们	c=105 d=1.2029 t=42035
ta men ban 	他们班	c=1 d=1 t=3432
ta na ge 	他那个	c=1 d=1 t=30372
ta shi 	他是	c=1 d=1 t=38705
ta shuo 	他说	c=2 d=1 t=20415
ta shuo de 	他说的	c=1 d=1 t=1024
ta xian 	塌陷	c=1 d=1 t=40995
ta ye 	他也	c=1 d=1 t=25245
ta ye 	它也	c=1 d=1 t=39278
ta zai 	他在	c=1 d=1 t=31025
ta zhe ge 	他这个	c=4 d=1.0058 t=40927
tai 	台	c=17 d=1 t=28299
tai 	太	c=44 d=1 t=41269
tai can le 	太惨了	c=1 d=1 t=24238
tai cao 	太糙	c=1 d=1 t=9828
tai cha 	太差	c=1 d=1 t=18363
tai chang 	太长	c=2 d=1 t=23374
tai da 	太大	c=6 d=1 t=24871
tai da ge 	太大个	c=1 d=1 t=11988
tai da le 	太大了	c=2 d=1.00001 t=39591
tai dan wu 	太耽误	c=1 d=1 t=22768
tai dao mei 	太倒霉	c=1 d=1 t=40999
tai de 	泰德	c=1 d=1 t=38109
tai dou le 	太逗了	c=1 d=1 t=18852
tai duo 	太多	c=10 d=1 t=37406
tai fan ren 	太烦人	c=0 d=0.1 t=14787
tai fan ren le 	太烦人了	c=1 d=1 t=14788
tai gao 	太高	c=1 d=1 t=5089
tai gui 	太贵	c=7 d=1.00001 t=27986
tai gui le 	太贵了	c=3 d=1 t=38656
tai guo 	泰国	c=2 d=1.97045 t=5640
tai hao le 	太好了	c=1 d=1 t=17251
tai hua suan le 	太划算了	c=1 d=1 t=35883
tai ji le 	太挤了	c=1 d=1 t=13604
tai jian le 	太贱了	c=1 d=1 t=1889
tai jiu 	太久	c=1 d=1 t=34081
tai kuai 	太快	c=1 d=1 t=40562
tai kuai le 	太快了	c=3 d=1 t=32181
tai lao 	太老	c=1 d=1 t=38476
tai li 	台历	c=0 d=0.1 t=18899
tai li luo 	台历落	c=1 d=1 t=18900
tai luan 	太乱	c=1 d=1 t=38132
tai luan le 	太乱了	c=1 d=1 t=10041
tai ma fan 	太麻烦	c=3 d=1 t=37250
tai man 	太慢	c=1 d=1 t=10905
tai man 	太满	c=1 d=1 t=17001
tai mang 	太忙	c=1 d=1 t=34367
tai niu bi 	太牛逼	c=6 d=1.09209 t=35769
tai pang le 	太胖了	c=1 d=1 t=10791
tai pian mian 	太片面	c=1 d=1 t=4330
tai pian yi 	太便宜	c=1 d=1 t=39098
tai ruo 	太弱	c=1 d=1 t=2861
tai sao 	太骚	c=1 d=1 t=24169
tai sha 	太傻	c=1 d=1 t=37409
tai sha bi 	太傻逼	c=1 d=1 t=39585
tai tai 	太太	c=1 d=1 t=3530
tai tou 	抬头	c=3 d=1.91774 t=41983
tai wan 	台湾	c=4 d=1.00022 t=33704
tai wan le 	太晚了	c=1 d=1 t=10783
tai xiao 	太小	c=1 d=1 t=3826
tai xie shi 	太写实	c=1 d=1 t=21279
tai xing 	太行	c=1 d=1 t=10768
tai yang 	太阳	c=5 d=1.44415 t=27397
tai yuan 	太远	c=1 d=1 t=8416
tai zao 	太早	c=1 d=1 t=3541
tai zao le 	太早了	c=1 d=1 t=22746
tai zhan di fang 	太占地方	c=1 d=1 t=14709
tai zhe teng 	太折腾	c=2 d=1 t=38898
tai zi 	台子	c=1 d=1 t=3484
tan 	弹	c=1 d=1 t=38958
tan 	谈	c=2 d=1 t=12818
tan chu 	弹出	c=1 d=1 t=15450
tan chu qu 	探出去	c=1 d=1 t=27394
tan ke 	坦克	c=1 d=1 t=16584
tan lian ai 	谈恋爱	c=2 d=1 t=32392
tan suo 	坍缩	c=1 d=1 t=40334
tan tu 	谈吐	c=1 d=1 t=2091
tan xing 	弹性	c=1 d=1 t=22582
tan zhe si 	潭柘寺	c=1 d=1 t=5440
tang 	趟	c=3 d=1 t=18175
tang le 	躺了	c=1 d=1 t=10782
tang ping 	躺平	c=1 d=1 t=13049
tang zhe 	躺着	c=3 d=1 t=33115
tao 	套	c=6 d=1 t=35321
tao 	掏	c=1 d=1 t=21295
tao bao 	淘宝	c=3 d=1 t=31750
tao bao dian 	淘宝店	c=1 d=1 t=22756
tao fang 	套房	c=1 d=1 t=2162
tao ke 	套壳	c=1 d=1 t=18584
tao li 	逃离	c=1 d=1 t=25370
tao lu 	套路	c=1 d=1 t=13469
tao lun 	讨论	c=2 d=1 t=30709
tao tai 	淘汰	c=2 d=1 t=35866
tao tie 	饕餮	c=1 d=1.09501 t=25587
tao tie hai 	饕餮海	c=1 d=1 t=25588
tao yi 	逃逸	c=1 d=1 t=2666
tao zhuang 	套装	c=1 d=1 t=39082
te 	特	c=12 d=1.00072 t=33147
te bie 	特别	c=6 d=1 t=35266
te bie dou 	特别逗	c=1 d=1 t=9862
te bie duo 	特别多	c=1 d=1 t=35659
te da 	特大	c=1 d=1 t=11706
te dian 	特点	c=1 d=1 t=39270
te dou 	特都	c=1 d=1 t=34523
te duo 	特多	c=1 d=1 t=18003
te gui 	特贵	c=1 d=1 t=16992
te hao 	特好	c=1 d=1 t=13201
te kuai 	特快	c=1 d=1 t=6163
te me 	特么	c=17 d=1 t=37180
te niu bi 	特牛逼	c=2 d=1 t=32257
te quan 	特权	c=1 d=1 t=19934
te se 	特色	c=1 d=1 t=12734
te sha bi 	特傻逼	c=1 d=1 t=21804
te shu zi fu 	特殊字符	c=1 d=1 t=1881
te si 	特斯	c=1 d=1 t=12733
te si la 	特斯拉	c=11 d=1.99005 t=27463
te zhong bing 	特种兵	c=1 d=1 t=31161
teng chu lai 	腾出来	c=1 d=1 t=29680
teng le 	疼了	c=1 d=1 t=33563
teng xun 	腾讯	c=3 d=1 t=29116
teng xun yun 	腾讯云	c=3 d=1.9324 t=22911
ti 	提	c=4 d=1 t=28118
ti 	替	c=1 d=1 t=8821
ti 	题	c=1 d=1 t=32010
ti a 	提啊	c=0 d=0.1 t=15465
ti a jia 	提啊加	c=1 d=1 t=15466
ti cheng 	提成	c=1 d=1 t=1243
ti chu 	剔除	c=1 d=1 t=23774
ti chu 	提出	c=2 d=1.76338 t=18666
ti du 	梯度	c=2 d=1.97531 t=8195
ti gang 	提纲	c=1 d=1 t=26285
ti gao 	提高	c=2 d=1 t=9125
ti gong 	提供	c=8 d=1.00001 t=41672
ti huan 	替换	c=3 d=1 t=35095
ti ji 	体积	c=1 d=1 t=35317
ti jia 	提价	c=1 d=1 t=22565
ti jian 	体检	c=2 d=1 t=23808
ti jiao 	提交	c=3 d=1 t=19650
ti kuan 	提款	c=1 d=1 t=5954
ti le 	提了	c=2 d=1 t=6544
ti li 	体力	c=1 d=1 t=14246
